sentence,response,count,cloze_probability,number_of_response
安妮在星巴克买了,星冰乐,3,0.096774194,31
安妮在星巴克买了,茶,3,0.096774194,31
安妮在星巴克买了,鞋子,1,0.032258065,31
安妮在星巴克买了,咖啡,21,0.677419355,31
安妮在星巴克买了,蛋糕,1,0.032258065,31
安妮在星巴克买了,冰,1,0.032258065,31
安妮在星巴克买了,铁,1,0.032258065,31
安妮在星巴克买了,玛奇朵,2,0.064516129,31
安妮在星巴克买了,焦糖,2,0.064516129,31
安妮在星巴克买了,奶茶,1,0.032258065,31
在花园里玩耍时，小男孩送给小女孩,雏菊,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,花,13,0.433333333,30
在花园里玩耍时，小男孩送给小女孩,的,2,0.066666667,30
在花园里玩耍时，小男孩送给小女孩,气球,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,花花,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,棉花,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,糖,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,玫瑰,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,鲜花,2,0.066666667,30
在花园里玩耍时，小男孩送给小女孩,花朵,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,玩具,2,0.066666667,30
在花园里玩耍时，小男孩送给小女孩,棒棒糖,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,泥巴,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,鹅卵石,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,角,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,花园,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,奥特曼,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,卡片,1,0.033333333,30
在花园里玩耍时，小男孩送给小女孩,野花,1,0.033333333,30
